time_ms,cpu_cores,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
61000,12,1.34,1.01,1.02,0,0,0,0.19,0.09,0.12,0.09,0.06,0.09,0,0,0,0,0,0,3.9,3.44,1.72,7,0,0
62000,12,1.28,1.01,1.02,0,0,0,0.16,0.08,0.12,0.08,0.05,0.09,0,0,0,0,0,0,3.9,3.44,1.72,6,0,0
63000,12,1.28,1.01,1.02,0,0,0,0.16,0.08,0.12,0.08,0.05,0.09,0,0,0,0,0,0,3.9,3.44,1.72,9,0,0
64000,12,1.41,1.04,1.03,0,0,0,0.13,0.08,0.12,0.06,0.05,0.09,0,0,0,0,0,0,3.9,3.44,1.72,6,0,0
65000,12,1.41,1.04,1.03,0,0,0,0.13,0.08,0.12,0.06,0.05,0.09,0,0,0,0,0,0,3.9,3.44,1.72,6,0,0
66000,12,1.33,1.04,1.03,0,0,0,0.1,0.08,0.12,0.05,0.05,0.09,0,0,0,0,0,0,4.06,3.48,1.75,12,0,0
67000,12,1.33,1.04,1.03,0,0,0,0.1,0.08,0.12,0.05,0.05,0.09,0,0,0,0,0,0,4.06,3.48,1.75,5,0,0
68000,12,1.45,1.07,1.03,0,0,0,0.08,0.07,0.12,0.04,0.05,0.09,0,0,0,0,0,0,4.06,3.48,1.75,5,0,0
69000,12,1.45,1.07,1.03,0,0,0,0.08,0.07,0.12,0.04,0.05,0.09,0,0,0,0,0,0,4.06,3.48,1.75,6,0,0
70000,12,1.37,1.07,1.03,0,0,0,0.07,0.07,0.12,0.03,0.05,0.09,0,0,0,0,0,0,4.06,3.48,1.75,6,0,0
71000,12,1.37,1.07,1.03,0,0,0,0.07,0.07,0.12,0.03,0.05,0.09,0,0,0,0,0,0,4.06,3.49,1.76,6,0,0
72000,12,1.48,1.1,1.04,0,0,0,0.05,0.07,0.12,0.02,0.04,0.09,0,0,0,0,0,0,4.06,3.49,1.76,5,0,0
73000,12,1.48,1.1,1.04,0,0,0,0.05,0.07,0.12,0.02,0.04,0.09,0,0,0,0,0,0,4.06,3.49,1.76,5,0,0
74000,12,1.39,1.09,1.04,0,0,0,0.04,0.07,0.12,0.02,0.04,0.09,0,0,0,0,0,0,4.06,3.49,1.76,10,1,0
75000,12,1.39,1.09,1.04,0,0,0,0.04,0.07,0.12,0.02,0.04,0.09,0,0,0,0,0,0,4.06,3.49,1.76,6,0,0
76000,12,1.5,1.12,1.05,0,0,0,0.03,0.06,0.11,0.01,0.04,0.09,0,0,0,0,0,0,4.3,3.55,1.79,7,0,0
77000,12,1.5,1.12,1.05,0,0,0,0.03,0.06,0.11,0.01,0.04,0.09,0,0,0,0,0,0,4.3,3.55,1.79,9,0,0
78000,12,1.41,1.12,1.05,0,0,0,0.03,0.06,0.11,0.01,0.04,0.09,0,0,0,0,0,0,4.3,3.55,1.79,6,0,0
79000,12,1.41,1.12,1.05,0,0,0,0.03,0.06,0.11,0.01,0.04,0.09,0,0,0,0,0,0,4.3,3.55,1.79,10,0,0
80000,12,1.52,1.15,1.05,0,0,0,0.02,0.06,0.11,0.01,0.04,0.08,0,0,0,0,0,0,4.3,3.55,1.79,5,0,0
81000,12,1.52,1.15,1.05,0,0,0,0.02,0.06,0.11,0.01,0.04,0.08,0,0,0,0,0,0,4.27,3.56,1.8,5,0,0
82000,12,1.6,1.18,1.06,0,0,0,0.02,0.06,0.11,0,0.04,0.08,0,0,0,0,0,0,4.27,3.56,1.8,8,0,0
83000,12,1.6,1.18,1.06,0,0,0,0.02,0.06,0.11,0,0.04,0.08,0,0,0,0,0,0,4.27,3.56,1.8,6,0,0
84000,12,1.49,1.17,1.06,0,0,0,0.01,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.27,3.56,1.8,9,0,0
85000,12,1.49,1.17,1.06,0,0,0,0.01,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.27,3.56,1.8,6,0,0
86000,12,1.4,1.16,1.06,0,0,0,0.01,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.25,3.57,1.81,8,0,0
87000,12,1.4,1.16,1.06,0,0,0,0.01,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.25,3.57,1.81,7,0,0
88000,12,1.51,1.19,1.06,0,0,0,0.01,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.25,3.57,1.81,5,0,0
89000,12,1.51,1.19,1.06,0,0,0,0.01,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.25,3.57,1.81,8,0,0
90000,12,1.6,1.22,1.07,0,0,0,0,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,4.25,3.57,1.81,6,0,0
91000,12,1.6,1.22,1.07,0,0,0,0,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,5.03,3.74,1.88,7,0,0
92000,12,1.67,1.24,1.08,0,0,0,0,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,5.03,3.74,1.88,6,0,0
93000,12,1.67,1.24,1.08,0,0,0,0,0.05,0.11,0,0.03,0.08,0,0,0,0,0,0,5.03,3.74,1.88,6,0,0
94000,12,1.55,1.23,1.08,0,0,0,0,0.04,0.11,0,0.03,0.08,0,0,0,0,0,0,5.03,3.74,1.88,5,0,0
95000,12,1.55,1.23,1.08,0,0,0,0,0.04,0.11,0,0.03,0.08,0,0,0,0,0,0,5.03,3.74,1.88,7,0,0
96000,12,1.63,1.26,1.08,0,0,0,0,0.04,0.1,0,0.03,0.08,0,0,0,0,0,0,4.95,3.74,1.89,6,0,0
97000,12,1.63,1.26,1.08,0,0,0,0,0.04,0.1,0,0.03,0.08,0,0,0,0,0,0,4.95,3.74,1.89,7,0,0
98000,12,1.7,1.28,1.09,0,0,0,0,0.04,0.1,0,0.02,0.08,0,0,0,0,0,0,4.95,3.74,1.89,5,0,0
99000,12,1.7,1.28,1.09,0,0,0,0,0.04,0.1,0,0.02,0.08,0,0,0,0,0,0,4.95,3.74,1.89,6,0,0
100000,12,1.57,1.27,1.09,0,0,0,0,0.04,0.1,0,0.02,0.08,0,0,0,0,0,0,4.95,3.74,1.89,5,0,0
101000,12,1.57,1.27,1.09,0,0,0,0,0.04,0.1,0,0.02,0.08,0,0,0,0,0,0,4.87,3.75,1.9,5,0,0
102000,12,1.46,1.26,1.09,0,0,0,0,0.04,0.1,0,0.02,0.07,0,0,0,0,0,0,4.87,3.75,1.9,6,0,0
103000,12,1.46,1.26,1.09,0,0,0,0,0.04,0.1,0,0.02,0.07,0,0,0,0,0,0,4.87,3.75,1.9,15,0,0
104000,12,1.56,1.29,1.09,0,0,0,0,0.04,0.1,0,0.02,0.07,0,0,0,0,0,0,4.87,3.75,1.9,7,0,0
105000,12,1.56,1.29,1.09,0,0,0,0,0.04,0.1,0,0.02,0.07,0,0,0,0,0,0,4.87,3.75,1.9,8,0,0
106000,12,1.46,1.28,1.09,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.8,3.75,1.91,8,0,0
107000,12,1.46,1.28,1.09,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.8,3.75,1.91,5,0,0
108000,12,1.56,1.3,1.1,0,0,0,0,0.03,0.1,0,0.02,0.07,0,0,0,0,0,0,4.8,3.75,1.91,6,0,0
