comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
migration/6[36],2,29,0.386,0.008,0.013,0.021,6.63,0
cat[81860],-1,2,0.910,0.013,0.455,0.896,96.93,0
pool-spawner[81716/81704],81714,1,0.015,0.015,0.015,0.015,0.00,0
codium[60612/60517],60517,9,0.221,0.011,0.024,0.051,20.06,0
codium[60324],3513,1558,339.878,0.007,0.218,1.378,2.17,0
napi/phy0-0[892],2,673,14.764,0.006,0.021,0.095,2.17,0
git[81852],-1,1,5.544,5.544,5.544,5.544,0.00,0
cpuUsage.sh[81844],-1,1,0.454,0.454,0.454,0.454,0.00,0
gmain[81700/81698],81698,1,0.116,0.116,0.116,0.116,0.00,0
kworker/6:1H-kb[300],2,25,0.400,0.008,0.016,0.034,7.07,0
cpuUsage.sh[81836],-1,1,0.474,0.474,0.474,0.474,0.00,0
(sd-close)[81692],-1,1,0.528,0.528,0.528,0.528,0.00,0
kworker/u49:18-[81404],2,619,383.327,0.003,0.619,118.991,37.05,0
NetworkManager[1436],1,247,31.546,0.005,0.127,0.627,3.67,0
gdbus[1004/964],964,4,0.424,0.055,0.106,0.164,26.23,0
cpuUsage.sh[81820],-1,1,0.538,0.538,0.538,0.538,0.00,0
wsdd[17508],17503,4,1.128,0.231,0.282,0.317,6.68,0
kworker/u53:4-t[76220],2,16,0.216,0.004,0.013,0.033,14.64,0
codium[60572/60544],60544,87,37.433,0.007,0.430,2.181,12.62,0
Chrome_ChildIOT[60428/60424],60424,2526,122.226,0.007,0.048,0.805,1.25,0
kworker/5:0-eve[64300],2,191,2.810,0.006,0.014,0.083,3.95,0
kthreadd[81956],2,6,0.070,0.009,0.011,0.017,10.64,0
cpuUsage.sh[81812],-1,2,0.486,0.015,0.243,0.470,93.52,0
fusermount3[81668],81667,2,1.034,0.209,0.517,0.825,59.53,0
rtkit-daemon[988/967],967,8,0.219,0.021,0.027,0.034,5.54,0
pool-0[81660/81657],-1,1,0.068,0.068,0.068,0.068,0.00,0
cat[81804],-1,1,0.895,0.895,0.895,0.895,0.00,0
kworker/u53:1-t[75772],2,108,1.197,0.004,0.011,0.033,4.66,0
kworker/u53:3-t[67876],2,15,0.155,0.004,0.010,0.028,15.12,0
kworker/1:1H-kb[116],2,113,2.339,0.007,0.020,0.066,5.69,0
JS Helper[81940/81935],-1,1,0.049,0.049,0.049,0.049,0.00,0
cat[81796],-1,1,0.961,0.961,0.961,0.961,0.00,0
xdg-desktop-por[81652],81525,283,35.039,0.004,0.123,3.822,18.56,0
Chrome_ChildIOT[60548/60534],60534,16,1.127,0.017,0.070,0.129,14.81,0
udisksd[972],1,2,1.228,0.506,0.614,0.721,17.51,0
git[81932],-1,1,8.225,8.225,8.225,8.225,0.00,0
cat[81788],-1,1,1.052,1.052,1.052,1.052,0.00,0
codium[61116],60517,29,2.570,0.060,0.088,0.137,3.77,0
low-memory-moni[964],1,2,0.130,0.058,0.065,0.072,10.46,0
kworker/2:1H-kb[244],2,47,0.994,0.009,0.021,0.054,5.83,0
kworker/9:0-eve[49052],2,130,1.890,0.006,0.014,0.058,3.69,0
kcompactd0[100],2,175,926.618,0.005,5.294,54.992,14.12,0
postgres[81924],-1,1,2.885,2.885,2.885,2.885,0.00,0
which[81780],-1,2,0.974,0.016,0.487,0.958,96.69,0
bluetoothd[956],1,381,100.857,0.121,0.264,0.517,2.04,0
cat[81916],-1,2,1.054,0.015,0.527,1.038,96.99,0
wpa_supplicant[1524],1,35,5.033,0.017,0.143,0.530,15.76,0
codium[60524/60516],60516,1,0.080,0.080,0.080,0.080,0.00,0
