Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
Xwayland:26658,518.986 ms,5257,avg:   0.026 ms,max:   0.578 ms,max start: 96359.510673 s,max end: 96359.511250 s
GpuWatchdog:314662,0.375 ms,3,avg:   0.025 ms,max:   0.034 ms,max start: 96341.977459 s,max end: 96341.977493 s
CompositorTileW:314590,0.231 ms,4,avg:   0.024 ms,max:   0.027 ms,max start: 96358.454069 s,max end: 96358.454096 s
DedicatedWorker:342286,2.075 ms,2,avg:   0.024 ms,max:   0.029 ms,max start: 96379.612404 s,max end: 96379.612433 s
scx_flash:356153,6.428 ms,142,avg:   0.024 ms,max:   0.566 ms,max start: 96357.427900 s,max end: 96357.428465 s
cmp:(4),5.191 ms,7,avg:   0.024 ms,max:   0.032 ms,max start: 96355.757359 s,max end: 96355.757391 s
generate-script:(14),49.767 ms,81,avg:   0.023 ms,max:   0.044 ms,max start: 96374.682090 s,max end: 96374.682135 s
rtkit-daemon:(2),0.515 ms,12,avg:   0.023 ms,max:   0.043 ms,max start: 96349.544457 s,max end: 96349.544500 s
cargo:(5),57.120 ms,127,avg:   0.023 ms,max:   0.226 ms,max start: 96376.036365 s,max end: 96376.036591 s
curl-config:(4),6.965 ms,4,avg:   0.023 ms,max:   0.030 ms,max start: 96376.449581 s,max end: 96376.449611 s
uname:(12),12.335 ms,15,avg:   0.022 ms,max:   0.040 ms,max start: 96377.211406 s,max end: 96377.211446 s
pcscd:3999,0.091 ms,2,avg:   0.022 ms,max:   0.029 ms,max start: 96345.980526 s,max end: 96345.980555 s
tr:(30),37.687 ms,38,avg:   0.022 ms,max:   0.137 ms,max start: 96339.975334 s,max end: 96339.975471 s
gvfsd-wsdd:16224,0.888 ms,6,avg:   0.022 ms,max:   0.029 ms,max start: 96382.955835 s,max end: 96382.955864 s
kworker/u53:14-:341879,0.075 ms,5,avg:   0.021 ms,max:   0.046 ms,max start: 96377.466764 s,max end: 96377.466809 s
dirname:(16),18.228 ms,18,avg:   0.021 ms,max:   0.032 ms,max start: 96377.540379 s,max end: 96377.540411 s
ar:357975,170.968 ms,203,avg:   0.020 ms,max:   0.088 ms,max start: 96375.923470 s,max end: 96375.923558 s
grep:(3),5.710 ms,9,avg:   0.020 ms,max:   0.045 ms,max start: 96377.230458 s,max end: 96377.230503 s
gsd-sharing:3788,0.375 ms,4,avg:   0.019 ms,max:   0.021 ms,max start: 96360.001212 s,max end: 96360.001233 s
awk:359414,4.630 ms,4,avg:   0.019 ms,max:   0.029 ms,max start: 96381.622469 s,max end: 96381.622498 s
mt76-tx phy0:1394,1.170 ms,48,avg:   0.019 ms,max:   0.036 ms,max start: 96375.715390 s,max end: 96375.715425 s
echo:(15),13.408 ms,23,avg:   0.019 ms,max:   0.083 ms,max start: 96377.490462 s,max end: 96377.490546 s
irq/69-SYNA7DAB:457,101.874 ms,1158,avg:   0.018 ms,max:   0.392 ms,max start: 96354.181516 s,max end: 96354.181908 s
psimon:(2),8.925 ms,308,avg:   0.018 ms,max:   0.107 ms,max start: 96377.915464 s,max end: 96377.915571 s
rm:(154),150.468 ms,262,avg:   0.018 ms,max:   0.100 ms,max start: 96377.170460 s,max end: 96377.170560 s
opt cgu.0:(2),9.780 ms,33,avg:   0.018 ms,max:   0.039 ms,max start: 96376.367263 s,max end: 96376.367302 s
generate-gitweb:(2),4.027 ms,5,avg:   0.017 ms,max:   0.025 ms,max start: 96383.315346 s,max end: 96383.315372 s
kworker/11:1H-k:410,2.512 ms,47,avg:   0.017 ms,max:   0.043 ms,max start: 96340.151616 s,max end: 96340.151659 s
kworker/9:1H-kb:409,2.616 ms,46,avg:   0.016 ms,max:   0.042 ms,max start: 96340.162637 s,max end: 96340.162679 s
crond:1658,0.052 ms,1,avg:   0.016 ms,max:   0.016 ms,max start: 96380.228077 s,max end: 96380.228092 s
kworker/10:1H-k:117,2.637 ms,54,avg:   0.016 ms,max:   0.037 ms,max start: 96340.176983 s,max end: 96340.177019 s
migration/8:42,0.248 ms,12,avg:   0.015 ms,max:   0.027 ms,max start: 96363.620268 s,max end: 96363.620294 s
kworker/8:1H-kb:285,2.172 ms,43,avg:   0.015 ms,max:   0.026 ms,max start: 96340.192889 s,max end: 96340.192915 s
ln:(148),164.314 ms,242,avg:   0.015 ms,max:   0.083 ms,max start: 96377.176461 s,max end: 96377.176544 s
migration/9:78,0.231 ms,12,avg:   0.014 ms,max:   0.023 ms,max start: 96363.620311 s,max end: 96363.620334 s
migration/10:48,0.222 ms,12,avg:   0.014 ms,max:   0.023 ms,max start: 96351.620350 s,max end: 96351.620372 s
gix::dirwalk::i:357985,8.685 ms,38,avg:   0.013 ms,max:   0.027 ms,max start: 96376.086859 s,max end: 96376.086886 s
migration/6:36,0.182 ms,12,avg:   0.013 ms,max:   0.021 ms,max start: 96367.620066 s,max end: 96367.620087 s
migration/11:84,0.230 ms,11,avg:   0.013 ms,max:   0.018 ms,max start: 96351.620407 s,max end: 96351.620425 s
migration/5:66,0.170 ms,12,avg:   0.012 ms,max:   0.014 ms,max start: 96379.619984 s,max end: 96379.619998 s
migration/7:72,0.174 ms,12,avg:   0.012 ms,max:   0.018 ms,max start: 96351.620149 s,max end: 96351.620167 s
migration/4:30,0.156 ms,12,avg:   0.011 ms,max:   0.015 ms,max start: 96339.619868 s,max end: 96339.619882 s
migration/1:54,0.150 ms,12,avg:   0.011 ms,max:   0.017 ms,max start: 96339.296429 s,max end: 96339.296446 s
migration/3:60,0.150 ms,12,avg:   0.011 ms,max:   0.016 ms,max start: 96379.619831 s,max end: 96379.619847 s
migration/0:19,0.150 ms,12,avg:   0.010 ms,max:   0.015 ms,max start: 96375.619694 s,max end: 96375.619709 s
migration/2:24,0.170 ms,13,avg:   0.010 ms,max:   0.015 ms,max start: 96375.619819 s,max end: 96375.619834 s
lto cgu.0:358009,7.463 ms,1,avg:   0.007 ms,max:   0.007 ms,max start: 96376.372395 s,max end: 96376.372402 s
date:358738,1.407 ms,1,avg:   0.007 ms,max:   0.007 ms,max start: 96377.616460 s,max end: 96377.616467 s
