comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
kworker/u50:12-[67107],2,4534,272.215,0.000,0.060,38.438,15.13,0
ksoftirqd/5[67],2,36,0.558,0.005,0.015,0.201,34.49,0
which[81315],-1,1,3.363,3.363,3.363,3.363,0.00,0
ThreadPoolForeg[60499/60424],60424,104,101.858,0.004,0.979,8.446,17.15,0
cpuUsage.sh[81307],-1,2,0.455,0.014,0.227,0.441,93.76,0
postgres[81299],-1,1,8.464,8.464,8.464,8.464,0.00,0
libuv-worker[60627/60539],60539,10,0.167,0.004,0.016,0.034,18.00,0
scx-adapt[81155/81146],81146,24,3.666,0.007,0.152,0.918,39.79,0
Chrome_IOThread[60339/60324],60324,173,17.049,0.020,0.098,1.257,11.49,0
ksoftirqd/8[43],2,28,0.516,0.006,0.018,0.132,26.55,0
postgres[81291],-1,2,9.156,2.572,4.578,6.583,43.81,0
gopls[61043/60896],60896,3,0.098,0.010,0.032,0.044,33.35,0
gopls[60899/60896],60896,4,0.162,0.023,0.040,0.077,31.51,0
napi/phy0-0[891],2,2,0.039,0.015,0.019,0.024,23.72,0
sed[81275],-1,1,2.653,2.653,2.653,2.653,0.00,0
migration/0[19],2,5,0.048,0.006,0.009,0.014,16.56,0
gdbus[1451/1436],1436,3,0.392,0.085,0.130,0.204,28.56,0
Xwayland:cs0[8915/8914],8914,965,83.464,0.005,0.086,0.267,1.58,0
kworker/3:0-eve[70355],2,65,0.710,0.004,0.010,0.037,6.42,0
kworker/8:1H-kb[291],2,607,8.830,0.006,0.014,0.122,1.72,0
Chrome_ChildIOT[60435/60431],60431,1,0.092,0.092,0.092,0.092,0.00,0
codium[61003/60557],60557,1617,272.121,0.006,0.168,1.833,2.97,0
kworker/u48:1-c[76219],2,496,8.575,0.002,0.017,0.058,2.78,0
ThreadPoolForeg[60427/60424],60424,136,75.592,0.005,0.555,6.056,13.95,0
kworker/u49:13-[67747],2,7281,603.900,0.002,0.082,43.468,9.95,0
pcscd[4147/2044],2044,2,0.046,0.015,0.023,0.031,32.11,0
gdbus[3715/3663],3663,3,0.662,0.172,0.220,0.303,18.91,0
systemd[3228],1,1,0.232,0.232,0.232,0.232,0.00,0
kworker/u50:13-[67108],2,2648,224.827,0.002,0.084,11.271,8.50,0
postgres[38828],38825,18,1.413,0.035,0.078,0.126,9.03,0
ps[81316],-1,1,24.271,24.271,24.271,24.271,0.00,0
migration/3[60],2,6,0.057,0.004,0.009,0.021,27.40,0
kworker/u49:1-b[76428],2,1,0.011,0.011,0.011,0.011,0.00,0
cat[81308],-1,1,1.147,1.147,1.147,1.147,0.00,0
Thread-4 (_thre[77428/1537],1537,16,1.155,0.032,0.072,0.093,5.88,0
postgres[81300],-1,1,9.545,9.545,9.545,9.545,0.00,0
codium[60628/60539],60539,61,1.136,0.005,0.018,0.071,8.11,0
cat[81292],-1,1,1.461,1.461,1.461,1.461,0.00,0
scx-adapt[81148/81146],81146,40,0.953,0.014,0.023,0.045,5.50,0
mutter-x11-fram[8940],3513,53,4.670,0.064,0.088,0.145,2.31,0
migration/6[36],2,5,0.053,0.005,0.010,0.025,35.31,0
codium[60324],3513,224,90.589,0.010,0.404,1.527,4.61,0
napi/phy0-0[892],2,86,2.435,0.004,0.028,0.087,5.40,0
cat[81276],-1,1,1.562,1.562,1.562,1.562,0.00,0
sleep[81268],-1,1,0.246,0.246,0.246,0.246,0.00,0
kworker/6:1H-kb[300],2,618,8.850,0.003,0.014,0.062,1.16,0
cpuUsage.sh[81260],-1,2,0.701,0.018,0.350,0.683,94.81,0
NetworkManager[1436],1,4,0.982,0.041,0.245,0.403,30.60,0
wsdd[17508],17503,1,0.265,0.265,0.265,0.265,0.00,0
kworker/u53:4-t[76220],2,2,0.019,0.007,0.009,0.011,20.39,0
codium[60572/60544],60544,23,7.825,0.010,0.340,1.581,28.65,0
Chrome_ChildIOT[60428/60424],60424,2013,123.565,0.006,0.061,0.361,1.32,0
kworker/5:0-eve[64300],2,100,1.036,0.004,0.010,0.028,5.08,0
rtkit-daemon[988/967],967,2,0.045,0.021,0.022,0.023,5.35,0
kworker/u53:1-t[75772],2,2,0.027,0.005,0.013,0.022,62.89,0
kworker/u53:3-t[67876],2,2,0.020,0.004,0.010,0.015,54.32,0
kworker/1:1H-kb[116],2,575,8.482,0.007,0.014,0.102,1.76,0
codium[61116],60517,7,0.656,0.070,0.093,0.130,10.17,0
kworker/2:1H-kb[244],2,604,8.634,0.006,0.014,0.052,1.29,0
kworker/9:0-mm_[49052],2,55,0.752,0.006,0.013,0.028,5.76,0
kcompactd0[100],2,72,49.659,0.005,0.689,38.260,78.49,0
postgres[81348],-1,1,3.293,3.293,3.293,3.293,0.00,0
bluetoothd[956],1,119,32.029,0.154,0.269,0.652,3.12,0
cat[81340],-1,1,1.057,1.057,1.057,1.057,0.00,0
wpa_supplicant[1524],1,2,0.137,0.040,0.068,0.096,40.70,0
codium[60524/60516],60516,1,0.109,0.109,0.109,0.109,0.00,0
gmain[3964/3911],3911,4,0.316,0.059,0.079,0.110,13.67,0
migration/11[84],2,6,0.066,0.004,0.011,0.023,28.64,0
kworker/u53:6-t[77172],2,30,0.331,0.002,0.011,0.023,7.74,0
cat[81332],-1,1,1.013,1.013,1.013,1.013,0.00,0
codium[60516],60324,348,51.153,0.007,0.146,3.049,9.45,0
cat[81324],-1,1,1.260,1.260,1.260,1.260,0.00,0
sudo[81269],-1,2,2.067,0.021,1.033,2.045,97.91,0
codium[60597/60517],60517,2,0.256,0.115,0.128,0.141,10.34,0
kworker/9:1H-kb[301],2,543,7.977,0.006,0.014,0.058,1.34,0
psimon[1005],2,135,1.635,0.007,0.012,0.026,2.25,0
kworker/4:1H-kb[141],2,654,9.611,0.005,0.014,0.081,1.37,0
kworker/u53:5-t[76221],2,8,0.106,0.005,0.013,0.034,25.18,0
sudo[81101],62414,2,0.086,0.038,0.043,0.047,10.74,0
codium[60573/60544],60544,17,4.766,0.018,0.280,2.438,50.58,0
Compositor[60429/60424],60424,2663,439.116,0.005,0.164,1.303,2.46,0
kworker/u49:15-[67749],2,6909,359.890,0.002,0.052,8.330,4.34,0
DedicatedWorker[60709/60424],60424,47,10.717,0.007,0.228,1.276,14.53,0
Chrome_ChildIOT[60421/60361],60361,640,50.152,0.012,0.078,0.494,1.81,0
rtkit-daemon[989/967],967,2,0.035,0.016,0.017,0.018,4.53,0
codium[60557],60324,428,51.714,0.005,0.120,0.892,5.05,0
upowerd[973],1,1,3.059,3.059,3.059,3.059,0.00,0
kworker/4:0-mm_[62549],2,37,0.582,0.007,0.015,0.065,10.76,0
kworker/8:0-eve[62405],2,63,1.009,0.007,0.016,0.035,4.47,0
kworker/u50:1-b[76461],2,5481,653.432,0.002,0.119,90.705,15.71,0
cpuUsage.sh[81341],-1,1,0.691,0.691,0.691,0.691,0.00,0
gdbus[3533/3513],3513,3,0.923,0.204,0.307,0.453,24.31,0
ksoftirqd/11[85],2,29,1.067,0.005,0.036,0.415,42.89,0
kworker/u48:2-g[74013],2,1175,19.720,0.002,0.016,0.078,1.75,0
DedicatedWorker[76453/60424],60424,35,6.310,0.031,0.180,0.369,7.58,0
cpuUsage.sh[81333],-1,1,0.243,0.243,0.243,0.243,0.00,0
codium[60517],60324,4,2.504,0.526,0.626,0.802,10.09,0
gmain[1085/966],966,4,0.285,0.065,0.071,0.081,4.88,0
cat[81325],-1,2,1.230,0.017,0.615,1.212,97.08,0
codium[60365/60324],60324,158,2.873,0.006,0.018,0.102,5.12,0
postgres[38829],38825,1,0.154,0.154,0.154,0.154,0.00,0
cpuUsage.sh[81317],-1,1,0.312,0.312,0.312,0.312,0.00,0
kworker/u50:0-b[63229],2,2550,281.466,0.002,0.110,15.268,9.57,0
ksoftirqd/3[61],2,51,0.648,0.005,0.012,0.105,17.48,0
cpuUsage.sh[81309],-1,2,0.925,0.034,0.462,0.891,92.58,0
libuv-worker[60629/60557],60557,6,0.186,0.006,0.031,0.050,22.00,0
codium[61053],60544,8,0.864,0.069,0.108,0.289,24.17,0
gopls[60909/60896],60896,2,0.154,0.016,0.077,0.137,78.14,0
postgres[81293],-1,1,8.048,8.048,8.048,8.048,0.00,0
scx-adapt[81149/81146],81146,29,4.470,0.006,0.154,1.157,41.45,0
ksoftirqd/6[37],2,56,0.898,0.005,0.016,0.124,16.16,0
cat[81285],-1,1,1.069,1.069,1.069,1.069,0.00,0
codium[60613/60557],60557,2,0.178,0.082,0.089,0.096,7.44,0
cpuUsage.sh[81277],-1,1,0.516,0.516,0.516,0.516,0.00,0
codium[60605/60516],60516,503,11.102,0.006,0.022,0.084,2.60,0
codium[60534],60324,5,2.413,0.233,0.482,0.791,19.88,0
codium:gdrv0[60390/60361],60361,11,1.241,0.015,0.112,0.229,16.45,0
codium[61102/60539],60539,31,0.645,0.014,0.020,0.037,4.56,0
