Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
expr:(3),6.156 ms,3,avg:   0.022 ms,max:   0.028 ms,max start: 96322.608973 s,max end: 96322.609001 s
tclsh:355181,22.026 ms,4,avg:   0.022 ms,max:   0.033 ms,max start: 96326.989482 s,max end: 96326.989516 s
ps:(3),99.510 ms,11,avg:   0.021 ms,max:   0.038 ms,max start: 96310.422187 s,max end: 96310.422225 s
dirname:(16),20.131 ms,17,avg:   0.021 ms,max:   0.026 ms,max start: 96327.233500 s,max end: 96327.233526 s
sudo:334383,1.125 ms,23,avg:   0.021 ms,max:   0.082 ms,max start: 96327.177164 s,max end: 96327.177246 s
systemd-resolve:934,0.862 ms,3,avg:   0.021 ms,max:   0.027 ms,max start: 96329.764224 s,max end: 96329.764251 s
kworker/u52:5-t:340515,0.078 ms,5,avg:   0.021 ms,max:   0.035 ms,max start: 96325.553923 s,max end: 96325.553958 s
migration/6:36,0.294 ms,11,avg:   0.020 ms,max:   0.030 ms,max start: 96331.620067 s,max end: 96331.620097 s
mt76-tx phy0:1394,1.174 ms,44,avg:   0.020 ms,max:   0.055 ms,max start: 96324.790609 s,max end: 96324.790664 s
kworker/3:1-eve:298282,0.090 ms,1,avg:   0.020 ms,max:   0.020 ms,max start: 96310.324524 s,max end: 96310.324544 s
pwd:(61),61.998 ms,74,avg:   0.019 ms,max:   0.042 ms,max start: 96295.087362 s,max end: 96295.087403 s
systemd-logind:1010,1.131 ms,4,avg:   0.019 ms,max:   0.033 ms,max start: 96331.946816 s,max end: 96331.946849 s
basename:(40),49.607 ms,51,avg:   0.018 ms,max:   0.038 ms,max start: 96330.420378 s,max end: 96330.420416 s
kworker/9:1H-kb:409,4.491 ms,134,avg:   0.018 ms,max:   0.179 ms,max start: 96302.235527 s,max end: 96302.235706 s
mkdir:(65),84.798 ms,70,avg:   0.018 ms,max:   0.037 ms,max start: 96328.116654 s,max end: 96328.116691 s
chmod:(49),51.212 ms,49,avg:   0.018 ms,max:   0.029 ms,max start: 96327.244822 s,max end: 96327.244851 s
opt cgu.0:(2),9.754 ms,27,avg:   0.017 ms,max:   0.034 ms,max start: 96326.155917 s,max end: 96326.155951 s
cat:(91),155.341 ms,114,avg:   0.017 ms,max:   0.083 ms,max start: 96309.391328 s,max end: 96309.391411 s
awk:355965,4.194 ms,1,avg:   0.017 ms,max:   0.017 ms,max start: 96330.555070 s,max end: 96330.555087 s
migration/2:24,0.212 ms,11,avg:   0.016 ms,max:   0.033 ms,max start: 96319.619787 s,max end: 96319.619820 s
migration/0:19,0.277 ms,12,avg:   0.016 ms,max:   0.028 ms,max start: 96311.619677 s,max end: 96311.619705 s
kworker/8:1H-kb:285,4.928 ms,156,avg:   0.016 ms,max:   0.067 ms,max start: 96319.053631 s,max end: 96319.053698 s
migration/9:78,0.207 ms,11,avg:   0.016 ms,max:   0.020 ms,max start: 96307.620311 s,max end: 96307.620331 s
migration/10:48,0.213 ms,11,avg:   0.015 ms,max:   0.022 ms,max start: 96307.620347 s,max end: 96307.620369 s
(sd-bright):356064,0.937 ms,1,avg:   0.015 ms,max:   0.015 ms,max start: 96331.945888 s,max end: 96331.945903 s
kworker/11:1H-k:410,3.825 ms,100,avg:   0.015 ms,max:   0.023 ms,max start: 96297.063350 s,max end: 96297.063373 s
migration/5:66,0.217 ms,11,avg:   0.015 ms,max:   0.019 ms,max start: 96311.619983 s,max end: 96311.620003 s
echo:(15),13.851 ms,15,avg:   0.015 ms,max:   0.025 ms,max start: 96327.162624 s,max end: 96327.162649 s
rm:(154),148.183 ms,163,avg:   0.014 ms,max:   0.068 ms,max start: 96326.838357 s,max end: 96326.838426 s
migration/4:30,0.220 ms,11,avg:   0.014 ms,max:   0.017 ms,max start: 96331.619866 s,max end: 96331.619884 s
migration/1:54,0.204 ms,11,avg:   0.014 ms,max:   0.021 ms,max start: 96307.619737 s,max end: 96307.619758 s
migration/3:60,0.233 ms,12,avg:   0.014 ms,max:   0.018 ms,max start: 96307.619832 s,max end: 96307.619850 s
migration/8:42,0.178 ms,11,avg:   0.014 ms,max:   0.018 ms,max start: 96295.620263 s,max end: 96295.620281 s
migration/11:84,0.198 ms,10,avg:   0.014 ms,max:   0.017 ms,max start: 96323.620414 s,max end: 96323.620432 s
migration/7:72,0.184 ms,11,avg:   0.014 ms,max:   0.021 ms,max start: 96327.620164 s,max end: 96327.620185 s
ln:(148),163.965 ms,155,avg:   0.010 ms,max:   0.024 ms,max start: 96326.875127 s,max end: 96326.875151 s
