Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
rcu_tasks_trace:94,22.795 ms,685,avg:   0.060 ms,max:   8.499 ms,max start: 96452.406464 s,max end: 96452.414963 s
tuned-ppd:1593,3.639 ms,35,avg:   0.059 ms,max:   0.675 ms,max start: 96446.834856 s,max end: 96446.835532 s
kworker/u49:20-:345037,122.824 ms,594,avg:   0.055 ms,max:  13.623 ms,max start: 96446.867871 s,max end: 96446.881494 s
scx_mitosis:363126,16.226 ms,36,avg:   0.052 ms,max:   0.502 ms,max start: 96452.232456 s,max end: 96452.232958 s
kworker/u49:9-b:342470,255.603 ms,772,avg:   0.050 ms,max:   6.910 ms,max start: 96452.244842 s,max end: 96452.251752 s
kworker/u49:2-b:342431,13.217 ms,52,avg:   0.047 ms,max:   0.575 ms,max start: 96446.884902 s,max end: 96446.885476 s
Compositor:314668,336.801 ms,1432,avg:   0.047 ms,max:   8.132 ms,max start: 96446.873423 s,max end: 96446.881555 s
chronyd:975,0.741 ms,4,avg:   0.046 ms,max:   0.087 ms,max start: 96455.165463 s,max end: 96455.165550 s
sed:(151),379.537 ms,164,avg:   0.045 ms,max:   1.571 ms,max start: 96476.181573 s,max end: 96476.183144 s
kworker/u50:4-b:342650,263.464 ms,1365,avg:   0.044 ms,max:   7.010 ms,max start: 96452.420630 s,max end: 96452.427640 s
libuv-worker:(12),2.631 ms,68,avg:   0.044 ms,max:   0.321 ms,max start: 96478.051170 s,max end: 96478.051491 s
systemd-udevd:670,0.549 ms,2,avg:   0.044 ms,max:   0.061 ms,max start: 96447.684335 s,max end: 96447.684396 s
irqbalance:974,4.244 ms,4,avg:   0.044 ms,max:   0.054 ms,max start: 96450.009463 s,max end: 96450.009517 s
coordinator:(3),6.076 ms,16,avg:   0.043 ms,max:   0.106 ms,max start: 96475.166141 s,max end: 96475.166247 s
Chrome_IOThread:314569,5.733 ms,27,avg:   0.043 ms,max:   0.230 ms,max start: 96478.108124 s,max end: 96478.108354 s
DedicatedWorker:342286,2.277 ms,2,avg:   0.043 ms,max:   0.046 ms,max start: 96478.435994 s,max end: 96478.436039 s
gssproxy:1543,0.472 ms,4,avg:   0.042 ms,max:   0.067 ms,max start: 96461.179461 s,max end: 96461.179528 s
gdbus:(8),10.888 ms,38,avg:   0.042 ms,max:   0.211 ms,max start: 96451.742524 s,max end: 96451.742735 s
CacheThread_Blo:314630,0.182 ms,2,avg:   0.042 ms,max:   0.058 ms,max start: 96449.824461 s,max end: 96449.824519 s
napi/phy0-0:(3),21.502 ms,461,avg:   0.041 ms,max:   3.614 ms,max start: 96478.869902 s,max end: 96478.873516 s
make:(4),1094.305 ms,1985,avg:   0.041 ms,max:  14.264 ms,max start: 96452.400238 s,max end: 96452.414502 s
cc:(578),2819.303 ms,2849,avg:   0.040 ms,max:   8.913 ms,max start: 96452.219993 s,max end: 96452.228907 s
gvfsd-wsdd:16224,0.763 ms,4,avg:   0.040 ms,max:   0.056 ms,max start: 96457.955927 s,max end: 96457.955984 s
GpuWatchdog:314662,0.414 ms,3,avg:   0.039 ms,max:   0.052 ms,max start: 96476.979206 s,max end: 96476.979258 s
kworker/u49:19-:343024,312.732 ms,1151,avg:   0.039 ms,max:   6.337 ms,max start: 96452.657717 s,max end: 96452.664054 s
gmain:(8),6.250 ms,72,avg:   0.038 ms,max:   0.174 ms,max start: 96476.944454 s,max end: 96476.944628 s
in:imjournal:1674,3.526 ms,40,avg:   0.038 ms,max:   0.082 ms,max start: 96467.860418 s,max end: 96467.860500 s
codium:(36),5119.999 ms,17283,avg:   0.038 ms,max:  11.472 ms,max start: 96452.283177 s,max end: 96452.294649 s
wsdd:16229,0.642 ms,2,avg:   0.037 ms,max:   0.040 ms,max start: 96472.955597 s,max end: 96472.955637 s
goa-identity-se:4047,0.628 ms,7,avg:   0.037 ms,max:   0.059 ms,max start: 96471.945936 s,max end: 96471.945995 s
msgfmt:(51),1974.599 ms,82,avg:   0.037 ms,max:   1.498 ms,max start: 96476.180691 s,max end: 96476.182190 s
kworker/u50:35-:339794,249.044 ms,658,avg:   0.037 ms,max:   0.803 ms,max start: 96452.437703 s,max end: 96452.438506 s
tuned:1551,4.252 ms,36,avg:   0.036 ms,max:   0.070 ms,max start: 96455.331778 s,max end: 96455.331847 s
Chrome_ChildIOT:(6),199.951 ms,1835,avg:   0.035 ms,max:   0.713 ms,max start: 96446.884768 s,max end: 96446.885482 s
ctrl-c:(5),20.734 ms,11,avg:   0.034 ms,max:   0.045 ms,max start: 96475.460814 s,max end: 96475.460859 s
evolution-alarm:3915,0.134 ms,1,avg:   0.034 ms,max:   0.034 ms,max start: 96461.000473 s,max end: 96461.000507 s
kworker/u50:26-:339785,116.378 ms,708,avg:   0.033 ms,max:   4.986 ms,max start: 96453.190506 s,max end: 96453.195492 s
rustc:(13),277.721 ms,31,avg:   0.033 ms,max:   0.108 ms,max start: 96475.166017 s,max end: 96475.166125 s
ThreadPoolServi:314640,0.360 ms,4,avg:   0.032 ms,max:   0.038 ms,max start: 96451.561456 s,max end: 96451.561494 s
ld:(22),5878.439 ms,79,avg:   0.032 ms,max:   0.380 ms,max start: 96477.007496 s,max end: 96477.007876 s
gsd-color:3719,0.169 ms,1,avg:   0.032 ms,max:   0.032 ms,max start: 96476.516686 s,max end: 96476.516718 s
VizCompositorTh:314667,366.157 ms,1248,avg:   0.031 ms,max:   7.908 ms,max start: 96452.153645 s,max end: 96452.161553 s
lto cgu.0:364957,7.749 ms,1,avg:   0.031 ms,max:   0.031 ms,max start: 96475.397532 s,max end: 96475.397563 s
upowerd:987,3.672 ms,1,avg:   0.031 ms,max:   0.031 ms,max start: 96451.738709 s,max end: 96451.738740 s
pcscd:3999,0.113 ms,2,avg:   0.030 ms,max:   0.045 ms,max start: 96466.100582 s,max end: 96466.100626 s
kworker/u49:6-b:342463,97.724 ms,738,avg:   0.030 ms,max:   1.573 ms,max start: 96452.394898 s,max end: 96452.396471 s
systemd-userwor:(3),0.272 ms,3,avg:   0.030 ms,max:   0.042 ms,max start: 96462.387455 s,max end: 96462.387497 s
build-script-bu:364947,1.677 ms,1,avg:   0.030 ms,max:   0.030 ms,max start: 96475.259611 s,max end: 96475.259641 s
JS Helper:(4),3.252 ms,62,avg:   0.029 ms,max:   0.102 ms,max start: 96480.963585 s,max end: 96480.963687 s
mkdir:(65),91.760 ms,67,avg:   0.028 ms,max:   0.452 ms,max start: 96477.182152 s,max end: 96477.182603 s
gnome-shell:3543,961.660 ms,1251,avg:   0.028 ms,max:   0.362 ms,max start: 96446.377859 s,max end: 96446.378221 s
