Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
VizCompositorTh:314667,20.832 ms,144,avg:   0.027 ms,max:   0.581 ms,max start: 95745.910276 s,max end: 95745.910857 s
kworker/u50:37-:339796,327.584 ms,3630,avg:   0.027 ms,max:   1.949 ms,max start: 95760.446507 s,max end: 95760.448456 s
sudo:(3),26.185 ms,68,avg:   0.027 ms,max:   0.317 ms,max start: 95745.818291 s,max end: 95745.818608 s
kworker/u49:3-b:339155,79.790 ms,1075,avg:   0.027 ms,max:   2.010 ms,max start: 95760.451464 s,max end: 95760.453473 s
tuned:1551,1.304 ms,15,avg:   0.026 ms,max:   0.132 ms,max start: 95746.184358 s,max end: 95746.184489 s
kworker/u49:14-:342490,299.699 ms,5046,avg:   0.026 ms,max:   1.991 ms,max start: 95750.238464 s,max end: 95750.240455 s
kworker/u49:8-b:342469,496.655 ms,7564,avg:   0.025 ms,max:   1.985 ms,max start: 95754.031481 s,max end: 95754.033466 s
KMS thread:3578,4.642 ms,35,avg:   0.025 ms,max:   0.139 ms,max start: 95752.956250 s,max end: 95752.956389 s
kswapd0:124,537.565 ms,101,avg:   0.025 ms,max:   0.133 ms,max start: 95755.926459 s,max end: 95755.926592 s
rcu_preempt:16,46.410 ms,3904,avg:   0.025 ms,max:   2.010 ms,max start: 95754.037452 s,max end: 95754.039462 s
kworker/u49:7-b:339754,421.384 ms,5525,avg:   0.024 ms,max:   2.515 ms,max start: 95752.840957 s,max end: 95752.843473 s
kworker/u50:27-:339786,569.189 ms,7225,avg:   0.024 ms,max:   1.987 ms,max start: 95754.041472 s,max end: 95754.043459 s
kworker/u50:1-b:342489,213.391 ms,2450,avg:   0.024 ms,max:   1.429 ms,max start: 95753.827030 s,max end: 95753.828459 s
kworker/u50:32-:339791,704.524 ms,7615,avg:   0.023 ms,max:   2.157 ms,max start: 95750.227052 s,max end: 95750.229209 s
kworker/9:1H-kb:409,5.601 ms,404,avg:   0.023 ms,max:   1.139 ms,max start: 95757.980703 s,max end: 95757.981841 s
kworker/u49:6-b:342463,464.548 ms,6244,avg:   0.023 ms,max:   2.011 ms,max start: 95750.203520 s,max end: 95750.205531 s
kauditd:95,0.148 ms,6,avg:   0.023 ms,max:   0.033 ms,max start: 95745.831043 s,max end: 95745.831076 s
kworker/u49:5-b:339752,426.697 ms,4850,avg:   0.023 ms,max:   1.722 ms,max start: 95750.236736 s,max end: 95750.238458 s
kworker/u49:1-b:339750,515.114 ms,6173,avg:   0.023 ms,max:   1.871 ms,max start: 95755.924623 s,max end: 95755.926494 s
kworker/u50:0-b:342468,525.561 ms,5247,avg:   0.023 ms,max:   1.981 ms,max start: 95750.210475 s,max end: 95750.212456 s
kworker/u50:40-:339799,363.878 ms,4798,avg:   0.023 ms,max:   1.675 ms,max start: 95750.183979 s,max end: 95750.185654 s
kworker/u49:13-:339760,802.676 ms,9297,avg:   0.023 ms,max:   1.997 ms,max start: 95760.459458 s,max end: 95760.461455 s
kworker/1:1H-kb:355,5.671 ms,405,avg:   0.023 ms,max:   1.278 ms,max start: 95757.914179 s,max end: 95757.915457 s
kworker/u50:26-:339785,775.245 ms,6016,avg:   0.023 ms,max:   1.991 ms,max start: 95757.905467 s,max end: 95757.907458 s
kthreadd:(2),480.298 ms,4697,avg:   0.022 ms,max:   1.916 ms,max start: 95750.209538 s,max end: 95750.211454 s
kworker/u50:3-b:342528,525.635 ms,7129,avg:   0.022 ms,max:   1.958 ms,max start: 95758.499539 s,max end: 95758.501497 s
kworker/u49:16-:342546,219.972 ms,1406,avg:   0.022 ms,max:   1.965 ms,max start: 95760.448489 s,max end: 95760.450454 s
kworker/u49:2-b:342431,446.079 ms,6450,avg:   0.022 ms,max:   1.987 ms,max start: 95757.891479 s,max end: 95757.893466 s
kworker/10:1H-k:117,10.703 ms,800,avg:   0.022 ms,max:   1.240 ms,max start: 95757.797686 s,max end: 95757.798927 s
kworker/u50:28-:339787,328.959 ms,3195,avg:   0.022 ms,max:   1.862 ms,max start: 95760.439527 s,max end: 95760.441390 s
kworker/u50:22-:339781,490.891 ms,5480,avg:   0.022 ms,max:   2.000 ms,max start: 95757.909464 s,max end: 95757.911464 s
kworker/u49:12-:339759,235.633 ms,3851,avg:   0.022 ms,max:   1.645 ms,max start: 95748.308857 s,max end: 95748.310502 s
systemd:(2),5.570 ms,68,avg:   0.022 ms,max:   0.151 ms,max start: 95745.844359 s,max end: 95745.844510 s
Xwayland:cs0:26659,0.429 ms,5,avg:   0.022 ms,max:   0.028 ms,max start: 95745.870629 s,max end: 95745.870657 s
kworker/u50:38-:339797,623.297 ms,6965,avg:   0.022 ms,max:   1.747 ms,max start: 95756.840711 s,max end: 95756.842457 s
codium:cs0:314620,0.399 ms,3,avg:   0.022 ms,max:   0.028 ms,max start: 95745.870315 s,max end: 95745.870343 s
codium:gdrv0:314628,0.205 ms,4,avg:   0.021 ms,max:   0.030 ms,max start: 95745.869576 s,max end: 95745.869605 s
codium:(32),537.376 ms,5263,avg:   0.021 ms,max:   1.343 ms,max start: 95759.985483 s,max end: 95759.986826 s
kworker/u50:20-:339779,61.876 ms,934,avg:   0.021 ms,max:   0.919 ms,max start: 95750.209537 s,max end: 95750.210456 s
perf:(2),504.256 ms,68,avg:   0.021 ms,max:   0.078 ms,max start: 95753.002442 s,max end: 95753.002520 s
kworker/u49:11-:342471,227.885 ms,3663,avg:   0.021 ms,max:   1.928 ms,max start: 95754.946530 s,max end: 95754.948458 s
