Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
GpuWatchdog:314662,0.399 ms,3,avg:   0.033 ms,max:   0.056 ms,max start: 96251.976165 s,max end: 96251.976220 s
kworker/u49:8-b:342469,171.783 ms,2127,avg:   0.033 ms,max:   1.996 ms,max start: 96276.026476 s,max end: 96276.028471 s
sh:(450),924.845 ms,1567,avg:   0.033 ms,max:   0.954 ms,max start: 96281.100507 s,max end: 96281.101461 s
kcompactd0:100,695.638 ms,220,avg:   0.033 ms,max:   1.039 ms,max start: 96250.452457 s,max end: 96250.453496 s
KMS thread:3578,24.526 ms,156,avg:   0.032 ms,max:   0.193 ms,max start: 96281.333123 s,max end: 96281.333316 s
wpa_supplicant:1554,12.329 ms,55,avg:   0.032 ms,max:   0.088 ms,max start: 96261.417432 s,max end: 96261.417520 s
gsd-power:3752,0.126 ms,1,avg:   0.032 ms,max:   0.032 ms,max start: 96271.581678 s,max end: 96271.581710 s
systemd-userwor:(3),0.300 ms,3,avg:   0.031 ms,max:   0.038 ms,max start: 96261.683466 s,max end: 96261.683503 s
upowerd:987,3.654 ms,1,avg:   0.031 ms,max:   0.031 ms,max start: 96271.577463 s,max end: 96271.577494 s
chmod:(49),57.046 ms,66,avg:   0.030 ms,max:   0.317 ms,max start: 96281.408852 s,max end: 96281.409169 s
NetworkManager:1458,26.683 ms,125,avg:   0.030 ms,max:   0.063 ms,max start: 96278.639957 s,max end: 96278.640020 s
kworker/u52:3-t:345644,0.189 ms,8,avg:   0.030 ms,max:   0.045 ms,max start: 96270.942031 s,max end: 96270.942075 s
generate-gitweb:(2),5.134 ms,5,avg:   0.030 ms,max:   0.044 ms,max start: 96286.493166 s,max end: 96286.493210 s
gnome-shell:3543,249.735 ms,276,avg:   0.029 ms,max:   0.313 ms,max start: 96281.346740 s,max end: 96281.347053 s
which:(4),24.573 ms,12,avg:   0.029 ms,max:   0.046 ms,max start: 96273.926480 s,max end: 96273.926526 s
uname:(12),13.942 ms,15,avg:   0.029 ms,max:   0.045 ms,max start: 96248.864389 s,max end: 96248.864434 s
dockerd:(3),2.056 ms,38,avg:   0.029 ms,max:   0.057 ms,max start: 96277.416432 s,max end: 96277.416489 s
kworker/u49:14-:342490,0.018 ms,1,avg:   0.029 ms,max:   0.029 ms,max start: 96281.440750 s,max end: 96281.440779 s
rtkit-daemon:(2),0.432 ms,10,avg:   0.028 ms,max:   0.046 ms,max start: 96283.457460 s,max end: 96283.457506 s
curl-config:(4),7.290 ms,5,avg:   0.028 ms,max:   0.036 ms,max start: 96280.345005 s,max end: 96280.345041 s
kworker/u52:5-t:340515,0.046 ms,2,avg:   0.027 ms,max:   0.038 ms,max start: 96283.139949 s,max end: 96283.139987 s
btrfs-transacti:499,80.319 ms,73,avg:   0.027 ms,max:   0.051 ms,max start: 96273.460463 s,max end: 96273.460515 s
kworker/u49:9-b:342470,90.045 ms,512,avg:   0.027 ms,max:   1.013 ms,max start: 96250.276479 s,max end: 96250.277492 s
collect2:(22),34.580 ms,68,avg:   0.027 ms,max:   0.079 ms,max start: 96280.970094 s,max end: 96280.970173 s
