Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
gnome-shell:3543,265.367 ms,359,avg:   0.018 ms,max:   0.110 ms,max start: 95903.974411 s,max end: 95903.974521 s
VizCompositorTh:314667,53.184 ms,207,avg:   0.017 ms,max:   0.110 ms,max start: 95903.276702 s,max end: 95903.276813 s
kworker/u50:4-b:342650,622.536 ms,6424,avg:   0.017 ms,max:   0.440 ms,max start: 95906.899458 s,max end: 95906.899899 s
kworker/u49:2-b:342431,590.785 ms,4024,avg:   0.017 ms,max:   0.349 ms,max start: 95910.723133 s,max end: 95910.723482 s
kworker/u49:18-:343023,597.777 ms,6290,avg:   0.017 ms,max:   0.271 ms,max start: 95915.623792 s,max end: 95915.624064 s
GDM userdb work:1682,4.606 ms,95,avg:   0.017 ms,max:   0.077 ms,max start: 95902.692429 s,max end: 95902.692506 s
systemd:(2),5.283 ms,66,avg:   0.017 ms,max:   0.047 ms,max start: 95902.672046 s,max end: 95902.672093 s
kworker/3:1H-kb:302,7.522 ms,465,avg:   0.017 ms,max:   0.793 ms,max start: 95916.684070 s,max end: 95916.684863 s
kworker/u50:31-:339790,464.523 ms,3108,avg:   0.017 ms,max:   0.272 ms,max start: 95915.431494 s,max end: 95915.431765 s
kworker/u49:14-:342490,681.905 ms,8076,avg:   0.017 ms,max:   0.298 ms,max start: 95915.259453 s,max end: 95915.259752 s
kworker/u50:20-:339779,627.093 ms,6779,avg:   0.017 ms,max:   0.320 ms,max start: 95915.431543 s,max end: 95915.431863 s
kworker/u48:0-g:342529,6.289 ms,127,avg:   0.017 ms,max:   0.104 ms,max start: 95903.490547 s,max end: 95903.490651 s
containerd:(5),8.087 ms,253,avg:   0.017 ms,max:   0.245 ms,max start: 95917.147389 s,max end: 95917.147634 s
kworker/7:1H-kb:245,8.124 ms,487,avg:   0.017 ms,max:   0.898 ms,max start: 95915.624563 s,max end: 95915.625461 s
codium:(32),723.022 ms,6599,avg:   0.017 ms,max:   0.305 ms,max start: 95903.774383 s,max end: 95903.774687 s
kworker/u49:1-b:339750,175.268 ms,2692,avg:   0.017 ms,max:   0.253 ms,max start: 95915.657642 s,max end: 95915.657895 s
kworker/u49:10-:339757,1304.591 ms,9897,avg:   0.017 ms,max:   0.643 ms,max start: 95916.284937 s,max end: 95916.285581 s
kworker/u49:12-:339759,1100.909 ms,10626,avg:   0.016 ms,max:   0.429 ms,max start: 95916.358455 s,max end: 95916.358884 s
gvfsd-wsdd:16224,0.461 ms,4,avg:   0.016 ms,max:   0.023 ms,max start: 95917.955444 s,max end: 95917.955467 s
kworker/u49:15-:342545,705.728 ms,6558,avg:   0.016 ms,max:   0.339 ms,max start: 95916.358454 s,max end: 95916.358793 s
kworker/u50:26-:339785,815.354 ms,10261,avg:   0.016 ms,max:   0.418 ms,max start: 95915.623638 s,max end: 95915.624056 s
kworker/u49:0-b:342430,556.133 ms,5313,avg:   0.016 ms,max:   0.202 ms,max start: 95906.902121 s,max end: 95906.902323 s
in:imjournal:1674,1.753 ms,17,avg:   0.016 ms,max:   0.034 ms,max start: 95914.645401 s,max end: 95914.645435 s
kworker/u50:1-b:342489,646.670 ms,6886,avg:   0.016 ms,max:   0.214 ms,max start: 95915.624189 s,max end: 95915.624403 s
kworker/u50:5-b:342854,124.774 ms,1943,avg:   0.016 ms,max:   0.265 ms,max start: 95903.591296 s,max end: 95903.591561 s
kworker/u50:3-b:342528,548.503 ms,6686,avg:   0.016 ms,max:   0.264 ms,max start: 95906.904556 s,max end: 95906.904819 s
pgbench:(8),7651.570 ms,265821,avg:   0.016 ms,max:   0.523 ms,max start: 95906.873950 s,max end: 95906.874473 s
kworker/u49:13-:339760,630.150 ms,6727,avg:   0.016 ms,max:   0.295 ms,max start: 95903.458608 s,max end: 95903.458903 s
kworker/u50:38-:339797,593.854 ms,7011,avg:   0.016 ms,max:   0.240 ms,max start: 95906.901875 s,max end: 95906.902116 s
kworker/u50:22-:339781,625.144 ms,5779,avg:   0.016 ms,max:   0.246 ms,max start: 95914.167701 s,max end: 95914.167947 s
kworker/u50:32-:339791,723.219 ms,8039,avg:   0.016 ms,max:   0.749 ms,max start: 95906.899461 s,max end: 95906.900210 s
kworker/2:1H-kb:247,10.168 ms,686,avg:   0.016 ms,max:   0.877 ms,max start: 95915.615583 s,max end: 95915.616460 s
NetworkManager:1458,6.954 ms,42,avg:   0.016 ms,max:   0.035 ms,max start: 95909.374004 s,max end: 95909.374039 s
kworker/u50:0-b:342468,308.387 ms,3854,avg:   0.016 ms,max:   0.249 ms,max start: 95906.899961 s,max end: 95906.900210 s
kworker/u50:34-:339793,434.232 ms,4562,avg:   0.016 ms,max:   1.280 ms,max start: 95906.899456 s,max end: 95906.900736 s
kworker/u50:28-:339787,627.964 ms,6304,avg:   0.016 ms,max:   0.277 ms,max start: 95915.352108 s,max end: 95915.352385 s
kworker/u50:40-:339799,1694.171 ms,11268,avg:   0.016 ms,max:   0.402 ms,max start: 95916.285025 s,max end: 95916.285427 s
kworker/11:1H-k:410,7.070 ms,440,avg:   0.016 ms,max:   0.667 ms,max start: 95913.836741 s,max end: 95913.837408 s
pool-0:4058,0.573 ms,12,avg:   0.016 ms,max:   0.026 ms,max start: 95906.945492 s,max end: 95906.945518 s
Xwayland:26658,53.902 ms,645,avg:   0.016 ms,max:   0.138 ms,max start: 95903.708036 s,max end: 95903.708174 s
kworker/u49:16-:342546,576.492 ms,6309,avg:   0.016 ms,max:   0.197 ms,max start: 95910.385309 s,max end: 95910.385505 s
systemd-machine:984,4.843 ms,94,avg:   0.016 ms,max:   0.042 ms,max start: 95902.672001 s,max end: 95902.672042 s
Compositor:314668,44.523 ms,308,avg:   0.016 ms,max:   0.163 ms,max start: 95903.591397 s,max end: 95903.591560 s
sssd_kcm:336673,1.025 ms,9,avg:   0.016 ms,max:   0.023 ms,max start: 95911.945949 s,max end: 95911.945972 s
kworker/u49:8-b:342469,711.814 ms,8007,avg:   0.015 ms,max:   0.276 ms,max start: 95906.920754 s,max end: 95906.921031 s
kworker/u49:7-b:339754,101.225 ms,1536,avg:   0.015 ms,max:   0.153 ms,max start: 95915.431525 s,max end: 95915.431679 s
kworker/u50:37-:339796,210.212 ms,2455,avg:   0.015 ms,max:   0.119 ms,max start: 95916.282460 s,max end: 95916.282578 s
rs:main Q:Reg:1695,0.119 ms,6,avg:   0.015 ms,max:   0.022 ms,max start: 95902.934670 s,max end: 95902.934693 s
kworker/5:1H-kb:411,7.012 ms,431,avg:   0.015 ms,max:   0.634 ms,max start: 95915.725572 s,max end: 95915.726206 s
kworker/u49:19-:343024,393.047 ms,3461,avg:   0.015 ms,max:   0.234 ms,max start: 95915.655230 s,max end: 95915.655464 s
kworker/u49:4-b:339751,264.516 ms,4127,avg:   0.015 ms,max:   0.343 ms,max start: 95906.899532 s,max end: 95906.899874 s
