comm,parent,sched-in,run-time,min-run,avg-run,max-run,stddev,migrations
as[79200],-1,1,13.936,13.936,13.936,13.936,0.00,0
cc[79056],-1,1,0.449,0.449,0.449,0.449,0.00,0
rs:main Q:Reg[1680/1623],1623,1,0.102,0.102,0.102,0.102,0.00,0
cc[78912],-1,2,0.612,0.022,0.306,0.589,92.49,0
gssproxy[1536],1,4,0.379,0.082,0.094,0.107,5.46,0
cc[78768],-1,1,0.843,0.843,0.843,0.843,0.00,0
as[78624],-1,1,1.127,1.127,1.127,1.127,0.00,0
as[78480],-1,1,14.773,14.773,14.773,14.773,0.00,0
as[80920],-1,1,3.416,3.416,3.416,3.416,0.00,0
as[78336],-1,1,40.129,40.129,40.129,40.129,0.00,0
sh[80776],-1,1,0.426,0.426,0.426,0.426,0.00,0
irqbalance[960],1,4,4.414,0.934,1.103,1.198,5.24,0
cc[78192],-1,1,1.073,1.073,1.073,1.073,0.00,0
cc1[80632],-1,1,259.687,259.687,259.687,259.687,0.00,0
cc1[78048],-1,1,131.405,131.405,131.405,131.405,0.00,0
cc[80488],-1,1,0.466,0.466,0.466,0.466,0.00,0
cc[77904],-1,1,0.430,0.430,0.430,0.430,0.00,0
msgfmt[80344],-1,1,14.228,14.228,14.228,14.228,0.00,0
sh[77760],-1,1,0.326,0.326,0.326,0.326,0.00,0
mkdir[80200],-1,1,1.146,1.146,1.146,1.146,0.00,0
sh[80056],-1,1,0.425,0.425,0.425,0.425,0.00,0
ln[79912],-1,1,0.880,0.880,0.880,0.880,0.00,0
sh[79768],-1,1,0.319,0.319,0.319,0.319,0.00,0
ln[79624],-1,2,0.925,0.021,0.462,0.903,95.29,0
kthreadd[79480],2,1104,126.604,0.002,0.114,8.388,14.85,0
cc[79336],-1,1,0.310,0.310,0.310,0.310,0.00,0
as[79192],-1,1,29.857,29.857,29.857,29.857,0.00,0
kworker/u50:6-e[76464],2,1052,134.813,0.002,0.128,14.567,13.84,0
cc[79048],-1,1,0.594,0.594,0.594,0.594,0.00,0
kworker/0:2-mm_[66128],2,209,11.817,0.005,0.056,0.329,9.16,0
cc1[78904],-1,1,193.828,193.828,193.828,193.828,0.00,0
cc1[78760],-1,1,15.214,15.214,15.214,15.214,0.00,0
cc1[78616],-1,1,49.208,49.208,49.208,49.208,0.00,0
cc[78472],-1,1,0.537,0.537,0.537,0.537,0.00,0
cc1[80912],-1,1,372.095,372.095,372.095,372.095,0.00,0
cc[78328],-1,1,0.641,0.641,0.641,0.641,0.00,0
dbus-broker-lau[952],1,1,0.135,0.135,0.135,0.135,0.00,0
JS Helper[3536/3513],3513,12,0.874,0.005,0.072,0.351,36.92,0
ld[80768],-1,1,14.225,14.225,14.225,14.225,0.00,0
cc[78184],-1,1,0.470,0.470,0.470,0.470,0.00,0
cc1[80624],-1,1,74.447,74.447,74.447,74.447,0.00,0
cat[78040],-1,2,1.780,0.021,0.890,1.759,97.61,0
cc1[80480],-1,1,174.016,174.016,174.016,174.016,0.00,0
cc[77896],-1,1,0.491,0.491,0.491,0.491,0.00,0
sh[80336],-1,1,1.741,1.741,1.741,1.741,0.00,0
sh[77752],-1,1,0.368,0.368,0.368,0.368,0.00,0
mkdir[80192],-1,1,1.375,1.375,1.375,1.375,0.00,0
sh[80048],-1,1,0.325,0.325,0.325,0.325,0.00,0
rm[79904],-1,1,1.085,1.085,1.085,1.085,0.00,0
rm[79760],-1,1,0.953,0.953,0.953,0.953,0.00,0
rm[79616],-1,2,0.986,0.013,0.493,0.972,97.24,0
as[79472],-1,1,33.919,33.919,33.919,33.919,0.00,0
cc1[79328],-1,1,250.298,250.298,250.298,250.298,0.00,0
cc1[79184],-1,1,203.722,203.722,203.722,203.722,0.00,0
cc1[79040],-1,1,111.875,111.875,111.875,111.875,0.00,0
cc1[78896],-1,1,125.124,125.124,125.124,125.124,0.00,0
cc[78752],-1,1,0.469,0.469,0.469,0.469,0.00,0
cc[78608],-1,1,0.758,0.758,0.758,0.758,0.00,0
cc[78464],-1,1,0.605,0.605,0.605,0.605,0.00,0
cc[80904],-1,1,0.598,0.598,0.598,0.598,0.00,0
kthreadd[78320],2,2,0.023,0.004,0.011,0.018,58.78,0
sh[80760],-1,1,0.596,0.596,0.596,0.596,0.00,0
cc1[78176],-1,2,193.065,0.094,96.532,192.970,99.90,0
as[80616],-1,1,4.248,4.248,4.248,4.248,0.00,0
cat[78032],-1,1,0.226,0.226,0.226,0.226,0.00,0
as[80472],-1,1,3.574,3.574,3.574,3.574,0.00,0
as[77888],-1,1,4.341,4.341,4.341,4.341,0.00,0
mkdir[80328],-1,1,1.504,1.504,1.504,1.504,0.00,0
curl-config[77744],-1,1,1.447,1.447,1.447,1.447,0.00,0
mkdir[80184],-1,1,0.754,0.754,0.754,0.754,0.00,0
sed[80040],-1,1,1.722,1.722,1.722,1.722,0.00,0
sh[79896],-1,1,0.380,0.380,0.380,0.380,0.00,0
ln[79752],-1,1,1.012,1.012,1.012,1.012,0.00,0
rm[79608],-1,1,0.953,0.953,0.953,0.953,0.00,0
mv[79464],-1,1,1.719,1.719,1.719,1.719,0.00,0
cc1[79320],-1,1,24.122,24.122,24.122,24.122,0.00,0
as[79176],-1,1,19.580,19.580,19.580,19.580,0.00,0
gopls[61088/60896],60896,1,0.053,0.053,0.053,0.053,0.00,0
cc[79032],-1,1,1.094,1.094,1.094,1.094,0.00,0
cc[78888],-1,1,1.188,1.188,1.188,1.188,0.00,0
cc1[78744],-1,1,70.487,70.487,70.487,70.487,0.00,0
cc1[78600],-1,2,17.067,0.723,8.533,16.343,91.52,0
ThreadPoolForeg[60512/60424],60424,21,7.946,0.019,0.378,3.861,49.88,0
as[78456],-1,1,5.404,5.404,5.404,5.404,0.00,0
libuv-worker[60368/60324],60324,17,0.989,0.008,0.058,0.354,33.17,0
basename[80896],-1,1,0.986,0.986,0.986,0.986,0.00,0
cc1[78312],-1,1,200.234,200.234,200.234,200.234,0.00,0
pwd[80752],-1,1,0.665,0.665,0.665,0.665,0.00,0
kworker/u48:3-d[70416],2,1411,41.711,0.003,0.029,2.294,5.61,0
cc[78168],-1,1,0.458,0.458,0.458,0.458,0.00,0
cc1[80608],-1,1,41.466,41.466,41.466,41.466,0.00,0
cc[78024],-1,1,0.704,0.704,0.704,0.704,0.00,0
cc1[80464],-1,1,132.369,132.369,132.369,132.369,0.00,0
cc[77880],-1,1,0.469,0.469,0.469,0.469,0.00,0
msgfmt[80320],-1,1,35.248,35.248,35.248,35.248,0.00,0
sh[77736],-1,1,0.603,0.603,0.603,0.603,0.00,0
sed[80176],-1,1,2.329,2.329,2.329,2.329,0.00,0
kworker/2:0-mm_[64672],2,165,10.450,0.011,0.063,5.667,54.14,0
postgres[38832],38825,8,0.291,0.028,0.036,0.043,5.22,0
mv[80032],-1,1,1.401,1.401,1.401,1.401,0.00,0
migration/7[72],2,43,0.780,0.007,0.018,0.034,6.09,0
ln[79888],-1,2,1.148,0.020,0.574,1.128,96.46,0
rm[79744],-1,1,0.963,0.963,0.963,0.963,0.00,0
rm[79600],-1,1,0.867,0.867,0.867,0.867,0.00,0
sh[79456],-1,1,0.414,0.414,0.414,0.414,0.00,0
cc[79312],-1,1,0.810,0.810,0.810,0.810,0.00,0
cat[79168],-1,1,0.257,0.257,0.257,0.257,0.00,0
cc1[79024],-1,1,32.161,32.161,32.161,32.161,0.00,0
cc1[78880],-1,1,101.150,101.150,101.150,101.150,0.00,0
as[78736],-1,1,4.432,4.432,4.432,4.432,0.00,0
as[78592],-1,1,15.044,15.044,15.044,15.044,0.00,0
ThreadPoolForeg[60504/60424],60424,25,39.482,0.009,1.579,7.413,23.92,0
cc[78448],-1,1,0.536,0.536,0.536,0.536,0.00,0
sh[80888],-1,1,0.495,0.495,0.495,0.495,0.00,0
cc[78304],-1,1,0.691,0.691,0.691,0.691,0.00,0
sed[80744],-1,1,1.993,1.993,1.993,1.993,0.00,0
cc1[78160],-1,1,252.105,252.105,252.105,252.105,0.00,0
cc[80600],-1,1,0.483,0.483,0.483,0.483,0.00,0
as[78016],-1,1,11.968,11.968,11.968,11.968,0.00,0
cc[80456],-1,1,0.610,0.610,0.610,0.610,0.00,0
cc1[77872],-1,1,121.270,121.270,121.270,121.270,0.00,0
sh[80312],-1,1,1.717,1.717,1.717,1.717,0.00,0
uname[77728],-1,1,0.783,0.783,0.783,0.783,0.00,0
msgfmt[80168],-1,1,7.340,7.340,7.340,7.340,0.00,0
sh[80024],-1,2,0.391,0.016,0.195,0.374,91.41,0
rm[79880],-1,1,1.001,1.001,1.001,1.001,0.00,0
sh[79736],-1,2,0.388,0.026,0.194,0.362,86.61,0
sh[79448],-1,1,0.460,0.460,0.460,0.460,0.00,0
basename[79304],-1,1,1.365,1.365,1.365,1.365,0.00,0
cat[79160],-1,2,1.880,0.025,0.940,1.854,97.26,0
as[79016],-1,1,5.793,5.793,5.793,5.793,0.00,0
crond[1640],1,1,0.063,0.063,0.063,0.063,0.00,0
cc[78872],-1,1,0.498,0.498,0.498,0.498,0.00,0
cc1[78728],-1,1,89.617,89.617,89.617,89.617,0.00,0
cc1[78584],-1,1,60.210,60.210,60.210,60.210,0.00,0
