Task,Runtime_ms,Count,Avg_delay_ms,Max_delay_ms,Max_delay_start,Max_delay_end
kworker/u50:6-e:76464,134.701 ms,888,avg:   0.047 ms,max:   4.754 ms,max start: 32110.706702 s,max end: 32110.711456 s
as:(556),10334.013 ms,990,avg:   0.046 ms,max:   1.263 ms,max start: 32088.656246 s,max end: 32088.657509 s
kworker/u50:5-b:71359,103.028 ms,756,avg:   0.046 ms,max:   5.994 ms,max start: 32110.712459 s,max end: 32110.718453 s
CacheThread_Blo:60423,0.219 ms,2,avg:   0.046 ms,max:   0.054 ms,max start: 32102.487459 s,max end: 32102.487513 s
gsd-color:3686,0.372 ms,1,avg:   0.044 ms,max:   0.044 ms,max start: 32085.849629 s,max end: 32085.849673 s
kworker/u48:3-d:70416,44.135 ms,1408,avg:   0.044 ms,max:   1.816 ms,max start: 32092.804652 s,max end: 32092.806469 s
upowerd:973,3.933 ms,3,avg:   0.043 ms,max:   0.054 ms,max start: 32088.034842 s,max end: 32088.034895 s
in:imjournal:1662,4.115 ms,39,avg:   0.043 ms,max:   0.406 ms,max start: 32108.315437 s,max end: 32108.315843 s
kworker/u50:17-:74999,164.172 ms,2064,avg:   0.042 ms,max:   5.989 ms,max start: 32110.632461 s,max end: 32110.638451 s
kworker/u50:7-b:71361,189.932 ms,2343,avg:   0.042 ms,max:   4.673 ms,max start: 32107.969781 s,max end: 32107.974455 s
kworker/u49:5-b:72423,15.361 ms,267,avg:   0.042 ms,max:   1.297 ms,max start: 32087.530592 s,max end: 32087.531889 s
kworker/1:1-mm_:44790,5.613 ms,134,avg:   0.041 ms,max:   1.010 ms,max start: 32092.787458 s,max end: 32092.788468 s
DedicatedWorker:(2),0.676 ms,2,avg:   0.041 ms,max:   0.043 ms,max start: 32113.656576 s,max end: 32113.656619 s
gvfs-afc-volume:4071,1.554 ms,35,avg:   0.040 ms,max:   0.255 ms,max start: 32090.033454 s,max end: 32090.033710 s
systemd-machine:970,0.192 ms,2,avg:   0.040 ms,max:   0.058 ms,max start: 32088.037265 s,max end: 32088.037323 s
kworker/u50:2-w:76462,127.747 ms,860,avg:   0.040 ms,max:   4.989 ms,max start: 32110.698478 s,max end: 32110.703467 s
ksoftirqd/7:73,0.828 ms,40,avg:   0.039 ms,max:   0.376 ms,max start: 32093.124815 s,max end: 32093.125190 s
opt cgu.0:(2),17.190 ms,36,avg:   0.038 ms,max:   0.743 ms,max start: 32108.396240 s,max end: 32108.396984 s
wpa_supplicant:1524,3.372 ms,9,avg:   0.038 ms,max:   0.126 ms,max start: 32087.536522 s,max end: 32087.536648 s
cc:(578),2660.259 ms,2981,avg:   0.037 ms,max:   2.801 ms,max start: 32095.840668 s,max end: 32095.843470 s
rcu_preempt:16,200.129 ms,8122,avg:   0.037 ms,max:   5.107 ms,max start: 32110.315453 s,max end: 32110.320560 s
make:(4),1078.211 ms,2006,avg:   0.036 ms,max:   2.081 ms,max start: 32109.372155 s,max end: 32109.374236 s
JS Helper:(4),5.147 ms,88,avg:   0.036 ms,max:   1.317 ms,max start: 32095.006163 s,max end: 32095.007480 s
ps:(4),133.505 ms,7,avg:   0.036 ms,max:   0.110 ms,max start: 32103.098713 s,max end: 32103.098823 s
irqbalance:960,4.428 ms,4,avg:   0.036 ms,max:   0.050 ms,max start: 32084.009465 s,max end: 32084.009515 s
GpuWatchdog:60417,0.288 ms,2,avg:   0.035 ms,max:   0.036 ms,max start: 32087.224749 s,max end: 32087.224785 s
GUsbEventThread:77487,0.258 ms,5,avg:   0.033 ms,max:   0.053 ms,max start: 32085.884461 s,max end: 32085.884514 s
kworker/7:1H-kb:242,1.556 ms,34,avg:   0.033 ms,max:   0.524 ms,max start: 32108.018669 s,max end: 32108.019192 s
pwd:(61),51.488 ms,75,avg:   0.032 ms,max:   0.301 ms,max start: 32112.894309 s,max end: 32112.894609 s
kworker/u48:1-g:76219,28.691 ms,736,avg:   0.032 ms,max:   2.020 ms,max start: 32109.371453 s,max end: 32109.373473 s
rtkit-daemon:(2),0.397 ms,10,avg:   0.032 ms,max:   0.085 ms,max start: 32080.438503 s,max end: 32080.438588 s
ksoftirqd/1:55,1.918 ms,68,avg:   0.032 ms,max:   0.433 ms,max start: 32104.819472 s,max end: 32104.819905 s
ld:(22),5711.023 ms,174,avg:   0.032 ms,max:   0.414 ms,max start: 32109.021467 s,max end: 32109.021881 s
ctrl-c:(5),14.399 ms,11,avg:   0.031 ms,max:   0.044 ms,max start: 32108.165047 s,max end: 32108.165091 s
chmod:(49),51.334 ms,59,avg:   0.031 ms,max:   0.353 ms,max start: 32109.501864 s,max end: 32109.502217 s
cat:(103),176.282 ms,225,avg:   0.031 ms,max:   0.660 ms,max start: 32099.198212 s,max end: 32099.198872 s
kworker/u49:15-:67749,1.976 ms,31,avg:   0.030 ms,max:   0.352 ms,max start: 32110.668790 s,max end: 32110.669142 s
kworker/u49:0-b:76422,78.737 ms,698,avg:   0.030 ms,max:   1.527 ms,max start: 32108.540788 s,max end: 32108.542315 s
generate-script:(14),49.415 ms,74,avg:   0.029 ms,max:   0.214 ms,max start: 32106.463893 s,max end: 32106.464107 s
gvfsd-wsdd:17503,0.974 ms,6,avg:   0.029 ms,max:   0.047 ms,max start: 32082.955461 s,max end: 32082.955508 s
cargo:(5),68.484 ms,161,avg:   0.029 ms,max:   1.635 ms,max start: 32108.029434 s,max end: 32108.031068 s
gsd-sharing:3758,1.297 ms,25,avg:   0.028 ms,max:   0.146 ms,max start: 32087.538253 s,max end: 32087.538400 s
generate-gitweb:(2),5.068 ms,5,avg:   0.027 ms,max:   0.033 ms,max start: 32114.533328 s,max end: 32114.533361 s
pool-spawner:77483,0.076 ms,1,avg:   0.027 ms,max:   0.027 ms,max start: 32088.030670 s,max end: 32088.030696 s
date:80247,1.184 ms,2,avg:   0.026 ms,max:   0.029 ms,max start: 32109.853359 s,max end: 32109.853388 s
wsdd:17508,1.019 ms,3,avg:   0.026 ms,max:   0.033 ms,max start: 32082.955594 s,max end: 32082.955627 s
grep:(3),4.915 ms,5,avg:   0.026 ms,max:   0.044 ms,max start: 32084.539196 s,max end: 32084.539240 s
coordinator:(3),6.110 ms,18,avg:   0.026 ms,max:   0.078 ms,max start: 32108.643987 s,max end: 32108.644065 s
build-script-bu:79506,1.112 ms,1,avg:   0.026 ms,max:   0.026 ms,max start: 32108.511520 s,max end: 32108.511546 s
kworker/u49:3-b:71457,95.634 ms,976,avg:   0.026 ms,max:   1.469 ms,max start: 32110.664473 s,max end: 32110.665942 s
mkdir:(65),88.639 ms,97,avg:   0.026 ms,max:   0.306 ms,max start: 32110.723874 s,max end: 32110.724180 s
